Data,Descrição,Valor,Saldo
25/01/2024,APOSENTADORIA INSS,2800.0,2800.0
26/01/2024,DEBITO AUTOMATICO - CONDOMINIO,-350.0,2450.0
27/01/2024,COMPRA CARTAO - SHOPPING IGUATEMI,-450.0,2000.0
28/01/2024,TRANSFERENCIA PIX - PAGAMENTO CONTA,-150.0,1850.0
29/01/2024,COMPRA CARTAO - RESTAURANTE JAPONES,-180.0,1670.0
30/01/2024,DEBITO AUTOMATICO - SEGURO AUTO,-120.0,1550.0
31/01/2024,COMPRA CARTAO - LIVRARIA CULTURA,-95.0,1455.0
01/02/2024,TRANSFERENCIA RECEBIDA - ALUGUEL,2000.0,3455.0
02/02/2024,COMPRA CARTAO - ACADEMIA SMART FIT,-89.9,3365.1
03/02/2024,DEBITO AUTOMATICO - ENERGIA ELETRICA,-120.5,3244.6
06/02/2024,POSTO IPIRANGA - COMBUSTIVEL,-195.03,3049.57
08/02/2024,SUPERMERCADO CARREFOUR,-102.61,2946.96
09/02/2024,RESTITUICAO IMPOSTO DE RENDA,1262.12,4209.08
10/02/2024,PADARIA PÃO QUENTE,-229.8,3979.28
11/02/2024,PAGAMENTO ALUGUEL,-186.2,3793.08
12/02/2024,PAGAMENTO CONTA DE LUZ - ENEL,-468.1,3324.98
15/02/2024,PAGAMENTO CONTA DE AGUA - SABESP,-154.56,3170.42
17/02/2024,CONSULTA MEDICA - DR. CARLOS,-411.7,2758.7200000000003
18/02/2024,DEBITO AUTOMATICO - SEGURO DE VIDA,-98.83,2659.8900000000003
20/02/2024,TRANSFERENCIA RECEBIDA - JOAO SILVA,1393.29,4053.18
23/02/2024,DEBITO AUTOMATICO - SEGURO DE VIDA,-129.12,3924.06
25/02/2024,UBER VIAGEM,-32.85,3891.210000000001
27/02/2024,DEBITO AUTOMATICO - SEGURO DE VIDA,-210.12,3681.0900000000006
29/02/2024,POSTO IPIRANGA - COMBUSTIVEL,-393.27,3287.8200000000006
03/03/2024,ASSINATURA NETFLIX,-26.17,3261.6500000000005
05/03/2024,TRANSFERENCIA RECEBIDA - JOAO SILVA,1158.56,4420.210000000001
06/03/2024,FARMACIA DROGASIL,-160.13,4260.080000000001
08/03/2024,COMPRA NO SHOPPING IGUATEMI,-341.99,3918.090000000001
10/03/2024,POSTO IPIRANGA - COMBUSTIVEL,-207.47,3710.620000000001
13/03/2024,CINEMA CINEMARK,-324.31,3386.3100000000013
15/03/2024,PADARIA PÃO QUENTE,-474.19,2912.1200000000013
18/03/2024,TRANSFERENCIA RECEBIDA - JOAO SILVA,908.61,3820.7300000000014
19/03/2024,CINEMA CINEMARK,-456.52,3364.2100000000014
