Data,Histórico,Valor,Saldo Atual
20/02/2024,APOSENTADORIA - INSS,3200.0,3200.0
21/02/2024,DEBITO AUTOMATICO - ALUGUEL,-950.0,2250.0
22/02/2024,COMPRA CARTAO - SUPERMERCADO EXTRA,-134.6,2115.4
23/02/2024,TRANSFERENCIA PIX - PAGAMENTO CONTA LUZ,-89.5,2025.9
24/02/2024,COMPRA CARTAO - RESTAURANTE ITALIANO,-145.0,1880.9
25/02/2024,DEBITO AUTOMATICO - PLANO DE SAUDE,-380.0,1500.9
26/02/2024,COMPRA CARTAO - LOJA DE CALCADOS,-280.0,1220.9
27/02/2024,TRANSFERENCIA RECEBIDA - PENSÃO ALIMENTÍCIA,1200.0,2420.9
28/02/2024,COMPRA CARTAO - FARMACIA DROGASIL,-67.8,2353.1
29/02/2024,DEBITO AUTOMATICO - INTERNET VIVO,-79.9,2273.2
02/03/2024,CINEMA CINEMARK,-303.92,1969.28
04/03/2024,POSTO IPIRANGA - COMBUSTIVEL,-106.74,1862.54
05/03/2024,PAGAMENTO CONTA DE LUZ - ENEL,-492.77,1369.7699999999998
07/03/2024,COMPRA NO SHOPPING IGUATEMI,-229.09,1140.6799999999998
09/03/2024,POSTO IPIRANGA - COMBUSTIVEL,-62.14,1078.5399999999995
10/03/2024,PAGAMENTO CONTA DE LUZ - ENEL,-302.12,776.4199999999997
13/03/2024,CINEMA CINEMARK,-474.37,302.0499999999997
15/03/2024,PAGAMENTO ALUGUEL,-307.42,-5.370000000000289
17/03/2024,VENDA PRODUTO ONLINE,963.55,958.1799999999996
20/03/2024,CINEMA CINEMARK,-190.96,767.2199999999996
21/03/2024,ASSINATURA NETFLIX,-465.89,301.3299999999996
22/03/2024,POSTO IPIRANGA - COMBUSTIVEL,-73.41,227.9199999999996
23/03/2024,UBER VIAGEM,-67.85,160.0699999999996
24/03/2024,CONSULTA MEDICA - DR. CARLOS,-329.52,-169.4500000000004
26/03/2024,CINEMA CINEMARK,-463.23,-632.6800000000004
29/03/2024,RESTAURANTE BOM SABOR,-128.81,-761.4900000000005
01/04/2024,SALARIO - EMPRESA XYZ,1283.59,522.0999999999995
03/04/2024,APOSENTADORIA INSS,855.76,1377.8599999999994
06/04/2024,RESTAURANTE BOM SABOR,-381.57,996.2899999999996
08/04/2024,ASSINATURA NETFLIX,-170.92,825.3699999999995
10/04/2024,ASSINATURA NETFLIX,-476.81,348.55999999999955
12/04/2024,ASSINATURA NETFLIX,-776.08,-427.5200000000005
14/04/2024,ACADEMIA SMART FIT,-699.34,-1126.8600000000006
