Data,Descrição,Valor,Operação
05/02/2024,SALARIO - EMPRESA XYZ LTDA,4200.0,CREDITO
06/02/2024,DEBITO AUTOMATICO - FINANCIAMENTO,-1800.0,DEBITO
07/02/2024,COMPRA CARTAO - SUPERMERCADO CARREFOUR,-156.8,DEBITO
08/02/2024,TRANSFERENCIA PIX - PAGAMENTO ESCOLA,-800.0,DEBITO
09/02/2024,COMPRA CARTAO - CINEMA CINEMARK,-45.0,DEBITO
10/02/2024,DEBITO AUTOMATICO - PLANO DENTARIO,-120.0,DEBITO
11/02/2024,COMPRA CARTAO - LOJA DE ROUPAS RENNER,-230.0,DEBITO
12/02/2024,TRANSFERENCIA RECEBIDA - PROJETO FREELANCE,1500.0,CREDITO
13/02/2024,COMPRA CARTAO - FARMACIA RAIA,-78.5,DEBITO
14/02/2024,DEBITO AUTOMATICO - TELEFONE TIM,-89.9,DEBITO 
15/02/2024,LOJA DE ROUPAS RENNER,-225.9,DEBITO
16/02/2024,TRANSFERENCIA RECEBIDA - JOAO SILVA,1410.89,CREDITO
19/02/2024,CINEMA CINEMARK,-201.2,DEBITO
21/02/2024,DEBITO AUTOMATICO - SEGURO DE VIDA,-234.15,DEBITO
23/02/2024,CONSULTA MEDICA - DR. CARLOS,-209.29,DEBITO
25/02/2024,SALARIO - EMPRESA XYZ,1263.01,CREDITO
27/02/2024,PAGAMENTO ALUGUEL,-452.16,DEBITO
28/02/2024,FARMACIA DROGASIL,-345.19,DEBITO
01/03/2024,RESTAURANTE BOM SABOR,-115.36,DEBITO
02/03/2024,LOJA DE ROUPAS RENNER,-284.41,DEBITO
04/03/2024,PAGAMENTO ALUGUEL,-427.92,DEBITO
06/03/2024,IFOOD PEDIDO,-269.52,DEBITO
09/03/2024,RECEBIMENTO DE ALUGUEL,1147.91,CREDITO
10/03/2024,POSTO IPIRANGA - COMBUSTIVEL,-244.74,DEBITO
11/03/2024,PAGAMENTO CONTA DE AGUA - SABESP,-261.54,DEBITO
13/03/2024,COMPRA NO SHOPPING IGUATEMI,-313.97,DEBITO
14/03/2024,ACADEMIA SMART FIT,-381.48,DEBITO
17/03/2024,ASSINATURA NETFLIX,-419.01,DEBITO
18/03/2024,CONSULTORIA FREELANCE,907.13,CREDITO
21/03/2024,UBER VIAGEM,-373.75,DEBITO
23/03/2024,PAGAMENTO DE CLIENTE,2287.08,CREDITO
25/03/2024,PAGAMENTO CONTA DE LUZ - ENEL,-175.76,DEBITO
28/03/2024,PADARIA PÃO QUENTE,-220.68,DEBITO
29/03/2024,CONSULTA MEDICA - DR. CARLOS,-205.7,DEBITO
31/03/2024,PAGAMENTO CONTA DE LUZ - ENEL,-297.15,DEBITO
03/04/2024,DEBITO AUTOMATICO - SEGURO DE VIDA,-664.74,DEBITO
04/04/2024,RESTAURANTE BOM SABOR,-595.77,DEBITO
05/04/2024,POSTO IPIRANGA - COMBUSTIVEL,-702.18,DEBITO
07/04/2024,RESTAURANTE BOM SABOR,-599.13,DEBITO
08/04/2024,ACADEMIA SMART FIT,-224.19,DEBITO
11/04/2024,ACADEMIA SMART FIT,-308.83,DEBITO
13/04/2024,CONSULTA MEDICA - DR. CARLOS,-360.49,DEBITO
16/04/2024,PAGAMENTO CONTA DE AGUA - SABESP,-774.64,DEBITO
19/04/2024,ASSINATURA NETFLIX,-424.02,DEBITO
20/04/2024,ASSINATURA NETFLIX,-330.94,DEBITO
21/04/2024,DEBITO AUTOMATICO - SEGURO DE VIDA,-130.27,DEBITO
23/04/2024,ACADEMIA SMART FIT,-547.35,DEBITO
24/04/2024,FARMACIA DROGASIL,-662.38,DEBITO
27/04/2024,PADARIA PÃO QUENTE,-324.2,DEBITO
29/04/2024,PAGAMENTO CONTA DE AGUA - SABESP,-799.96,DEBITO
02/05/2024,COMPRA NO SHOPPING IGUATEMI,-711.22,DEBITO
04/05/2024,FARMACIA DROGASIL,-206.94,DEBITO
07/05/2024,DEBITO AUTOMATICO - SEGURO DE VIDA,-728.27,DEBITO
09/05/2024,PAGAMENTO CONTA DE AGUA - SABESP,-278.19,DEBITO
11/05/2024,IFOOD PEDIDO,-116.95,DEBITO
13/05/2024,PAGAMENTO CONTA DE LUZ - ENEL,-542.14,DEBITO
14/05/2024,COMPRA NO SHOPPING IGUATEMI,-657.71,DEBITO
17/05/2024,PAGAMENTO DE CLIENTE,2146.21,CREDITO
19/05/2024,LOJA DE ROUPAS RENNER,-758.95,DEBITO
21/05/2024,CONSULTORIA FREELANCE,1653.17,CREDITO
24/05/2024,DEBITO AUTOMATICO - SEGURO DE VIDA,-497.46,DEBITO
27/05/2024,ASSINATURA NETFLIX,-675.49,DEBITO
29/05/2024,IFOOD PEDIDO,-83.11,DEBITO
31/05/2024,DEBITO AUTOMATICO - SEGURO DE VIDA,-373.07,DEBITO
02/06/2024,RECEBIMENTO DE ALUGUEL,1624.94,CREDITO
04/06/2024,FARMACIA DROGASIL,-151.75,DEBITO
05/06/2024,SALARIO - EMPRESA XYZ,1820.22,CREDITO
07/06/2024,FARMACIA DROGASIL,-720.21,DEBITO
10/06/2024,PAGAMENTO DE CLIENTE,2282.69,CREDITO
13/06/2024,RESTAURANTE BOM SABOR,-281.98,DEBITO
16/06/2024,PAGAMENTO CONTA DE LUZ - ENEL,-343.38,DEBITO
17/06/2024,SUPERMERCADO CARREFOUR,-510.95,DEBITO
20/06/2024,SUPERMERCADO CARREFOUR,-340.48,DEBITO
23/06/2024,UBER VIAGEM,-439.44,DEBITO
25/06/2024,PAGAMENTO CONTA DE AGUA - SABESP,-387.55,DEBITO
26/06/2024,CONSULTA MEDICA - DR. CARLOS,-388.5,DEBITO
29/06/2024,PAGAMENTO ALUGUEL,-65.13,DEBITO
02/07/2024,COMPRA NO SHOPPING IGUATEMI,-102.76,DEBITO
05/07/2024,UBER VIAGEM,-464.85,DEBITO
07/07/2024,RESTITUICAO IMPOSTO DE RENDA,774.07,CREDITO
08/07/2024,DEBITO AUTOMATICO - SEGURO DE VIDA,-769.32,DEBITO
11/07/2024,ACADEMIA SMART FIT,-179.49,DEBITO
12/07/2024,LOJA DE ROUPAS RENNER,-469.08,DEBITO
13/07/2024,SALARIO - EMPRESA XYZ,2366.47,CREDITO
16/07/2024,TRANSFERENCIA RECEBIDA - JOAO SILVA,781.82,CREDITO
19/07/2024,CINEMA CINEMARK,-544.88,DEBITO
21/07/2024,POSTO IPIRANGA - COMBUSTIVEL,-492.78,DEBITO
24/07/2024,CONSULTA MEDICA - DR. CARLOS,-759.49,DEBITO
26/07/2024,RESTAURANTE BOM SABOR,-38.74,DEBITO
28/07/2024,VENDA PRODUTO ONLINE,1046.58,CREDITO
