Data,Descrição,Valor,Operação
05/02/2024,SALARIO - EMPRESA XYZ LTDA,4200.00,CREDITO
06/02/2024,DEBITO AUTOMATICO - FINANCIAMENTO,-1800.00,DEBITO
07/02/2024,COMPRA CARTAO - SUPERMERCADO CARREFOUR,-156.80,DEBITO
08/02/2024,TRANSFERENCIA PIX - PAGAMENTO ESCOLA,-800.00,DEBITO
09/02/2024,COMPRA CARTAO - CINEMA CINEMARK,-45.00,DEBITO
10/02/2024,DEBITO AUTOMATICO - PLANO DENTARIO,-120.00,DEBITO
11/02/2024,COMPRA CARTAO - LOJA DE ROUPAS RENNER,-230.00,DEBITO
12/02/2024,TRANSFERENCIA RECEBIDA - PROJETO FREELANCE,1500.00,CREDITO
13/02/2024,COMPRA CARTAO - FARMACIA RAIA,-78.50,DEBITO
14/02/2024,DEBITO AUTOMATICO - TELEFONE TIM,-89.90,DEBITO 
